Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
lnco2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L.P_Adviceoraidinimplementa_Y3R	0.00202																																								
	(0.00171)																																								
	0.23779																																								
L.P_Adviceoraidinimplementa_CmY3R	-0.00373***																																								
	(0.00068)																																								
	0.00000																																								
																								(0.00264)																	
																								0.00008																	
L.P_Negotiatedagreementspub_CmY3R																								-0.00247***																	
																								(0.00082)																	
																								0.00250																	
L.P_Obligationschemes_Y3R																									-0.03125***																
																									(0.00527)																
																									0.00000																
L.P_Obligationschemes_CmY3R																									-0.05157***																
																									(0.00476)																
																									0.00000																
L.P_Othermandatoryrequireme_Y3R																										0.00833*															
																										(0.00468)															
																										0.07538															
L.P_Othermandatoryrequireme_CmY3R																										-0.00767***															
																										(0.00284)															
																										0.00689															
L.P_Politicalnonbindingclim_Y3R																											0.02734***														
																											(0.00871)														
																											0.00172														
L.P_Politicalnonbindingclim_CmY3R																											0.00960														
																											(0.00969)														
																											0.32210														
L.P_Politicalnonbindingener_Y3R																												-0.01027													
																												(0.01101)													
																												0.35111													
L.P_Politicalnonbindingener_CmY3R																												-0.01039													
																												(0.01110)													
																												0.34947													
L.P_PoliticalnonbindingGHGr_Y3R																													0.03498**												
																													(0.01435)												
																													0.01483												
L.P_PoliticalnonbindingGHGr_CmY3R																													-0.03281**												
																													(0.01426)												
																													0.02147												
L.P_Politicalnonbindingrene_Y3R																														0.00065											
																														(0.00970)											
																														0.94686											
L.P_Politicalnonbindingrene_CmY3R																														-0.00119											
																														(0.01150)											
																														0.91768											
L.P_Procurementrules_Y3R																															-0.00514										
																															(0.00470)										
																															0.27431										
L.P_Procurementrules_CmY3R																															-0.01981***										
																															(0.00360)										
																															0.00000										
L.P_Productstandards_Y3R																																-0.00697*									
																																(0.00389)									
																																0.07356									
L.P_Productstandards_CmY3R																																-0.00101									
																																(0.00437)									
																																0.81714									
L.P_Professionaltrainingand_Y3R																																	-0.00365								
																																	(0.01148)								
																																	0.75036								
L.P_Professionaltrainingand_CmY3R																																	0.00353								
																																	(0.00837)								
																																	0.67288								
L.P_RDDfunding_Y3R																																		0.00697*							
																																		(0.00405)							
																																		0.08560							
L.P_RDDfunding_CmY3R																																		-0.01094***							
																																		(0.00306)							
																																		0.00037							
L.P_Sectoralstandards_Y3R																																			0.00954						
																																			(0.00665)						
																																			0.15148						
L.P_Sectoralstandards_CmY3R																																			-0.00946**						
																																			(0.00434)						
																																			0.02955						
L.P_Strategicplanning_Y3R																																				0.00245					
																																				(0.00235)					
																																				0.29696					
L.P_Strategicplanning_CmY3R																																				-0.00366***					
																																				(0.00139)					
																																				0.00843					
L.P_Taxrelief_Y3R																																					0.00363				
																																					(0.00244)				
																																					0.13683				
L.P_Taxrelief_CmY3R																																					-0.00773***				
																																					(0.00124)				
																																					0.00000				
L.P_Technologydeploymentand_Y3R																																						0.00615**			
																																						(0.00295)			
																																						0.03710			
L.P_Technologydeploymentand_CmY3R																																						-0.00633***			
																																						(0.00128)			
																																						0.00000			
L.P_Technologydevelopment_Y3R																																							0.00523*		
																																							(0.00293)		
																																							0.07495		
L.P_Technologydevelopment_CmY3R																																							-0.00450***		
																																							(0.00126)		
																																							0.00037		
L.P_Vehiclefueleconomyandem_Y3R																																								-0.00277	
																																								(0.00454)	
																																								0.54191	
L.P_Vehiclefueleconomyandem_CmY3R																																								-0.00694**	
